,iso2,partner_iso2,flow,sum_2016,sum_2017,sum_2018,sum_2019,sum_2020,sum_2021,ISO3,name
49,FR,SM,1,8191716.0,10309207.0,11035695.0,11373972.0,12046863.0,13788307.0,FRA,France
50,FR,SM,2,21357562.0,18666142.0,22296675.0,19619076.0,23550866.0,28177737.0,FRA,France
51,FR,TR,1,6040466029.0,6452900129.0,7033286105.0,7611867457.0,6667030794.0,7918776365.0,FRA,France
52,FR,TR,2,7060316265.0,6743663872.0,6012861948.0,5977772115.0,6335060686.0,7404731345.0,FRA,France
53,FR,EE,1,270318744.0,308452166.0,373131989.0,372969924.0,295758580.0,384104358.0,FRA,France
54,FR,EE,2,280548896.0,336346963.0,339115329.0,407703043.0,301809952.0,448293101.0,FRA,France
55,FR,LV,1,179275752.0,192619937.0,220983175.0,225418111.0,249327357.0,308389377.0,FRA,France
56,FR,LV,2,279579976.0,321538950.0,338942386.0,365656188.0,323692986.0,410800871.0,FRA,France
57,FR,LT,1,613583947.0,641656956.0,787100152.0,700121766.0,605072073.0,675177704.0,FRA,France
58,FR,LT,2,529868067.0,625496088.0,723770925.0,639712634.0,668351184.0,851049757.0,FRA,France
59,FR,PL,1,9469852395.0,10526083949.0,11276544436.0,12421537183.0,12212368131.0,14678808669.0,FRA,France
60,FR,PL,2,8337088882.0,9261163060.0,10059912111.0,10326247391.0,9338033328.0,12147588297.0,FRA,France
61,FR,CZ,1,7447975098.0,7817431983.0,8215334661.0,8665276291.0,7113625587.0,8073705826.0,FRA,France
62,FR,CZ,2,4050672498.0,4609925838.0,4891131996.0,4766919961.0,4275451741.0,5030557375.0,FRA,France
63,FR,SK,1,3705628536.0,4088698499.0,4404963109.0,4825574325.0,4835138684.0,5347661365.0,FRA,France
64,FR,SK,2,2557291183.0,2695895591.0,2928449260.0,2988630749.0,2681997306.0,2967749486.0,FRA,France
65,FR,HU,1,3881010565.0,3965907250.0,3926315564.0,3841312660.0,3660782384.0,4157408851.0,FRA,France
66,FR,HU,2,3132822495.0,3371576301.0,3505001233.0,3728956238.0,3791801315.0,3867735750.0,FRA,France
67,FR,RO,1,3524587869.0,3611599532.0,4076010714.0,4059126864.0,3512249976.0,4246492464.0,FRA,France
68,FR,RO,2,3688812185.0,3995870363.0,4247584636.0,4320220294.0,3849604481.0,4261233117.0,FRA,France
69,FR,BG,1,1039703734.0,1032445796.0,1064865101.0,1059038101.0,1000778438.0,1170610310.0,FRA,France
70,FR,BG,2,781363038.0,844253613.0,889990572.0,960333638.0,854596177.0,1008648069.0,FRA,France
71,FR,AL,1,19873598.0,38199652.0,25409715.0,33518229.0,31361847.0,26529926.0,FRA,France
72,FR,AL,2,44493299.0,47356450.0,64074728.0,49225573.0,43364317.0,47143079.0,FRA,France
73,FR,UA,1,466998599.0,409213684.0,498911068.0,586828992.0,515796966.0,728238813.0,FRA,France
74,FR,UA,2,725531502.0,856810176.0,870775754.0,1062389875.0,1012793376.0,1207189918.0,FRA,France
75,FR,BY,1,19779775.0,43862406.0,35048719.0,87187855.0,85181006.0,65613165.0,FRA,France
76,FR,BY,2,108246685.0,148746221.0,131380950.0,155061516.0,150937029.0,183019700.0,FRA,France
77,FR,MD,1,37358437.0,38483736.0,37871431.0,35461731.0,30080868.0,29875746.0,FRA,France
78,FR,MD,2,41965590.0,41435060.0,52829694.0,62217344.0,64008489.0,76826730.0,FRA,France
79,FR,RU,1,5331965574.0,7340757571.0,9554839181.0,8265393726.0,5384458815.0,9395067678.0,FRA,France
80,FR,RU,2,4942820505.0,5592061968.0,5355648597.0,5627709149.0,5171338744.0,6392032941.0,FRA,France
81,FR,GE,1,26713591.0,26047860.0,35141805.0,23979465.0,35409893.0,31446119.0,FRA,France
82,FR,GE,2,125141020.0,180424805.0,212808800.0,153634751.0,146990587.0,197631031.0,FRA,France
83,FR,AM,1,2447343.0,2748014.0,5220522.0,3690501.0,3048851.0,3406508.0,FRA,France
84,FR,AM,2,35642448.0,41548988.0,69110374.0,53855470.0,47771006.0,49193513.0,FRA,France
85,FR,AZ,1,885498075.0,636476233.0,501043543.0,639711733.0,105279200.0,80109945.0,FRA,France
86,FR,AZ,2,128301561.0,101854135.0,113828732.0,143875843.0,111944375.0,106419241.0,FRA,France
87,FR,KZ,1,2423506784.0,3510709366.0,2946548725.0,3146638369.0,1560115395.0,2002937870.0,FRA,France
88,FR,KZ,2,458209698.0,320980405.0,348118042.0,427642303.0,597461450.0,465747534.0,FRA,France
89,FR,TM,1,31065562.0,3737232.0,2844812.0,3493754.0,5358636.0,6290329.0,FRA,France
90,FR,TM,2,122227840.0,73231486.0,78382859.0,99726821.0,74277813.0,31819303.0,FRA,France
91,FR,UZ,1,58593294.0,44990850.0,5418450.0,4831156.0,15405037.0,86903547.0,FRA,France
92,FR,UZ,2,221588786.0,81047448.0,181533292.0,140438725.0,262693924.0,207557999.0,FRA,France
